PersonH 1.4,6 0.4,7 -7.2,3.4
PersonI 5.6,6.5 1.5,5.65 1.5,2.8
PersonK 7.9,4.9 2.25,3.2 1.8,6.55
PersonJ 3.8,5.5 3.4,3.2 5,5
PersonL 7.25,2.8 5.75,4.25 9,1.8
PersonM 7.8,7.6 8.4,7.6 8.4,8.2
PersonN 0.8,7.7 5.75,7.4 4,8.4
PersonO 0.8,7.4 7.9,8.2 0.1,8.2
PersonP 7,5.6 7,6 7.1,5.56
PersonQ 6.9,7.2 1.4,4.6 1,4.5
PersonA -9,3 -7.6,1 -8,2
PersonB 0,0 0.1,-0.3 -0.4,-0.5
personC -0.8,-7.7 -5.75,-7.4 -4,-8.4
personD -9,-8.6 -7,-6.6 -9.8,-9
PersonE 9,9 9.1,9.2, 9.8,9.3
PersonF -8.6,4 -4.13,3.56 -6.7,4.5
PersonG 2,2.41 1.76,2.13 2.02,2.43
